"pl_POL_wp_int" "2017-05-21 18:42:00" "Polska jest otwarta na uchodźców. Witold Waszczykowski znów zaskakuje" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1892310211-829556197/waszczykowski.jpg"" width=""308"" /> Sprawa uchodźców i imigrantów podzieliła Polskę. Rząd i prezydent Andrzej Duda mówią zdecydowanie jednym głosem, że przyjmować takich osób nie..."
"pl_POL_wp_int" "2017-05-21 18:30:00" "Udaremniono rekordowy transport heroiny. Ponad 400 kilogramów" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/489424612-568495069/heroina.jpg"" width=""308"" /> Bułgarscy celnicy przejęli rekordową w ostatnich latach partię 423,2 kg heroiny o wartości 36,5 mln euro - poinformowały w niedzielę bułgarskie..."
"pl_POL_wp_int" "2017-05-21 17:28:00" "Trwa procedura zwolnienia policjanta, który użył paralizatora" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1054852817-954132851/igor-stachowiak.jpg"" width=""308"" /> Na wniosek szefa MSWiA wszczęto procedurę zwolnienia policjanta, który użył na wrocławskim komisariacie paralizatora wobec Igora Stachowiaka. O..."
"pl_POL_wp_int" "2017-05-21 16:20:00" "Przez cztery lata regularnie okradała firmę. Pracodawca nie sprawdzał, co dawała mu do podpisania" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1949951193--1862286349/pieniadze.png"" width=""308"" /> 42-letnia kobieta pracowała jako księgowa w jednej z warszawskich firm. Przez ostatnie cztery lata wpisywała na listę płac nazwiska osób, które już..."
"pl_POL_wp_int" "2017-05-21 16:08:00" "Partia Razem atakuje Nowoczesną. Chodzi m.in. o gejów i konkordat" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1248426833-340102799/petru.jpg"" width=""308"" /> Działacze partii Razem zarzucili dziś Nowoczesnej, że &" "34;po dwóch latach obecności tego ugrupowania w Sejmie, wciąż trudno znaleźć wyraźne różnice..."
"pl_POL_wp_int" "2017-05-21 14:59:00" "Kuriozalna propozycja posłanki Nowoczesnej. Internauci od razu zaczęli wypisywać swoje" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1231396417--753233272/joanna-scheuring-wielgus.jpg"" width=""308"" /> Joanna Scheuring-Wielgus wyszła z inicjatywą do artystów bojkotujących tegoroczny festiwal w Opolu i wyraziła nadzieję, że jedno z najważniejszych..."
"pl_POL_wp_int" "2017-05-21 14:31:00" "Ostry wpis Pawła Kukiza. ""Doświadczyłem poniżenia i poczucia bezsilności""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/371617643--1043127053/kukiz.jpg"" width=""308"" /> &" "34;Jak nikt rozumiem Kayah. Osobiście doświadczyłem czym dla muzyka jest próba wykluczenia go z &" "x27;rynku&" "x27;” - napisał Paweł Kukiz na swoim profilu na..."
"pl_POL_wp_int" "2017-05-21 14:29:00" "Śmierć Igora Stachowiaka na komisariacie. Prokuratura: zarzuty dopiero po uzyskaniu opinii biegłych" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1054852817-954132851/igor-stachowiak.jpg"" width=""308"" /> Prokuratura tłumaczy się z przedłużającego się postępowania ws. śmierci Igora. 25-latek zmarł rok temu na komisariacie przy ulicy Trzemeskiej we..."
"pl_POL_wp_int" "2017-05-21 14:07:00" "Nad tym zdjęciem zastanawiają się setki internautów. To mur czy rzeka?" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1551159662--1506595666/sd.jpg"" width=""308"" /> Niemiecki portal internetowy Jodel zamieścił na swojej stronie zdjęcie z imprezy przy grillu. I wtedy się zaczęło. Setki internautów zaczęło ze..."
"pl_POL_wp_int" "2017-05-21 13:47:00" "Ryszard Petru pierwszy raz oficjalnie o swoim związku ze Schmidt" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1836743868--1948768905/ryszard-petru.jpg"" width=""308"" /> Na konwencji Nowoczesnej Ryszard Petru zapowiedział, że jeśli dojdzie do władzy, zlikwiduje program 500+. – Jest nie do utrzymania. Proponujemy..."
